gutenberg_id,text,title
1513,"The earth hath swallowed all my hopes but she,--",Romeo and Juliet
1513,She is the hopeful lady of my earth:,Romeo and Juliet
1513,"But woo her, gentle Paris, get her heart,",Romeo and Juliet
1513,My will to her consent is but a part;,Romeo and Juliet
1513,"An she agree, within her scope of choice",Romeo and Juliet
1513,Lies my consent and fair according voice.,Romeo and Juliet
1513,"This night I hold an old accustom'd feast,",Romeo and Juliet
1513,"Whereto I have invited many a guest,",Romeo and Juliet
1513,"Such as I love; and you among the store,",Romeo and Juliet
1513,"One more, most welcome, makes my number more.",Romeo and Juliet
1513,At my poor house look to behold this night,Romeo and Juliet
1513,Earth-treading stars that make dark heaven light:,Romeo and Juliet
1513,Such comfort as do lusty young men feel,Romeo and Juliet
1513,When well apparell'd April on the heel,Romeo and Juliet
1513,"Of limping winter treads, even such delight",Romeo and Juliet
1513,Among fresh female buds shall you this night,Romeo and Juliet
1513,"Inherit at my house; hear all, all see,",Romeo and Juliet
1513,And like her most whose merit most shall be:,Romeo and Juliet
1513,"Which, among view of many, mine, being one,",Romeo and Juliet
1513,"May stand in number, though in reckoning none.",Romeo and Juliet
1513,"Come, go with me.--Go, sirrah, trudge about",Romeo and Juliet
1513,Through fair Verona; find those persons out,Romeo and Juliet
1513,"Whose names are written there, [gives a paper] and to them say,",Romeo and Juliet
1513,My house and welcome on their pleasure stay.,Romeo and Juliet
1513,,Romeo and Juliet
1513,[Exeunt Capulet and Paris].,Romeo and Juliet
1513,,Romeo and Juliet
1513,Servant.Find them out whose names are written here!,Romeo and Juliet
1513,It is written that the shoemaker should meddle with,Romeo and Juliet
